time,wheel1 angular velocity,wheel2 angular velocity,wheel1 centre of mass x,wheel2 centre of mass x,wheel1 centre of mass y,wheel2 centre of mass y
89.13333333333334,0.3487180544327811,-0.7605859397942238,3,11,-6,-8
89.16666666666667,0.3389859418946911,-0.7747136279788525,3,11,-6,-8
89.2,0.3294770261117101,-0.7890203832420885,3,11,-6,-7
89.23333333333333,0.32018988027644985,-0.8035056689127777,2,11,-6,-7
89.26666666666667,0.31113325936216685,-0.8181683374851751,2,11,-7,-7
89.3,0.30232226196474016,-0.833006590616122,2,12,-7,-7
89.33333333333333,0.29377499593071305,-0.8480179374796966,2,12,-7,-6
89.36666666666666,0.28548825360715,-0.8631991515702364,2,12,-7,-6
89.4,0.27745878995269063,-0.8784458460703726,2,12,-7,-6
89.43333333333334,0.2696833322007804,-0.8937613104357764,2,12,-7,-6
89.46666666666667,0.26215858895032784,-0.9091393409294046,2,12,-7,-5
89.5,0.25488125871083234,-0.9245730178817038,2,12,-7,-5
89.53333333333333,0.2478480379287275,-0.9400546826316446,2,12,-7,-5
89.56666666666666,0.2410556285212619,-0.9555759149438641,2,12,-7,-4
89.6,0.23450842388935128,-0.9711275111231379,1,13,-8,-4
89.63333333333334,0.22822602535913591,-0.9866994630666872,1,13,-8,-4
89.66666666666667,0.2222047437908358,-1.0022809385141789,1,13,-8,-3
89.7,0.2164409424592488,-1.017860262774457,1,13,-8,-3
89.73333333333333,0.21093104301382806,-1.0334249022267297,1,13,-8,-3
89.76666666666667,0.2055677839269919,-1.0489614499118012,1,13,-8,-2
89.8,0.200353313051295,-1.0644556135455983,1,13,-8,-2
89.83333333333333,0.19528486991643593,-1.0797922472958124,1,13,-8,-2
89.86666666666666,0.1903597330061731,-1.0949625584376725,1,13,-8,-1
89.9,0.18557522098844487,-1.1099490108888603,1,13,-8,-1
89.93333333333334,0.18092869383779614,-1.1247335383852575,1,13,-8,0
89.96666666666667,0.17641755385682203,-1.1392975810572197,1,13,-8,0
90.0,0.17203924660304154,-1.1536221259424673,1,13,-8,0
90.03333333333333,0.16779126172732428,-1.1676877514646218,1,13,-9,0
90.06666666666666,0.16367113372971356,-1.1814746758717298,1,13,-9,0
90.1,0.1596764426382181,-1.1949628095915337,1,12,-9,1
90.13333333333334,0.15580481461588366,-1.2081318114200388,1,12,-9,1
90.16666666666667,0.1520539225012058,-1.2209611484174339,1,12,-9,1
90.2,0.14841403291147798,-1.233330513498717,1,12,-9,2
90.23333333333333,0.14486059424024597,-1.2452253718629689,1,12,-9,2
90.26666666666667,0.14139166165846892,-1.2566245524205497,0,12,-9,3
90.3,0.13800532127813522,-1.2675074871723062,0,11,-9,3
90.33333333333333,0.13469969003255536,-1.2778543128915882,0,11,-9,3
90.36666666666666,0.13147291553177604,-1.287645971548146,0,11,-9,4
90.4,0.1283231758946374,-1.2968643086034912,0,11,-9,4
